from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8501160","8592010","2","180"
"8501160","8592096","2","300"
"8501160","8592133","2","360"
"8501163","8592175","2","180"
"8501169","8570063","2","120"
"8501181","8579253","2","240"
"8501181","8579254","2","300"
"8501181","8591818","2","180"
"8501181","8591988","2","240"
"8501208","8593844","2","120"
"8501209","8592068","2","720"
"8501209","8592105","2","180"
"8501210","8595521","2","300"
"8501212","8594987","2","180"
"8501212","8595602","2","360"
"8501216","8588873","2","300"
"8504176","8591982","2","240"
"8530749","8588838","2","240"
"8530749","8588839","2","360"
"8530749","8588983","2","180"
"8570063","8501169","2","120"
"8579231","8594988","2","120"
"8579253","8501181","2","240"
"8579253","8591818","2","180"
"8579253","8591988","2","240"
"8579253","8592004","2","480"
"8579253","8592122","2","540"
"8579253","8592133","2","420"
"8579254","8501181","2","300"
"8579254","8591818","2","300"
"8579255","8592126","2","360"
"8583748","8588847","2","180"
"8588443","8588445","2","60"
"8588445","8588443","2","60"
"8588445","8588446","2","300"
"8588445","8592188","2","300"
"8588446","8588445","2","300"
"8588838","8530749","2","180"
"8588838","8588839","2","180"
"8588838","8588983","2","240"
"8588839","8530749","2","360"
"8588839","8588838","2","180"
"8588839","8588983","2","360"
"8588847","8583748","2","180"
"8588873","8501216","2","300"
"8588983","8530749","2","180"
"8588983","8588838","2","240"
"8588983","8588839","2","360"
"8590442","8591818","2","420"
"8590442","8591988","2","240"
"8591818","8501181","2","180"
"8591818","8579253","2","300"
"8591818","8579254","2","300"
"8591818","8590442","2","420"
"8591818","8591988","2","180"
"8591982","8504176","2","240"
"8591983","8592044","2","180"
"8591984","8592035","2","120"
"8591987","8592088","2","300"
"8591988","8501181","2","240"
"8591988","8579253","2","240"
"8591988","8590442","2","240"
"8591988","8591818","2","240"
"8591991","8592051","2","180"
"8591992","8592032","2","180"
"8591997","8592054","2","120"
"8591998","8592057","2","120"
"8592001","8592096","2","120"
"8592004","8579253","2","480"
"8592004","8592122","2","120"
"8592004","8592133","2","120"
"8592010","8501160","2","180"
"8592010","8592011","2","120"
"8592010","8592096","2","120"
"8592010","8592133","2","240"
"8592011","8592010","2","120"
"8592011","8592096","2","240"
"8592020","8592050","2","240"
"8592020","8592062","2","420"
"8592024","8592028","2","180"
"8592026","8592028","2","180"
"8592028","8592024","2","180"
"8592028","8592026","2","180"
"8592030","8592176","2","180"
"8592030","8592187","2","240"
"8592032","8591992","2","180"
"8592032","8592078","2","300"
"8592033","8592076","2","120"
"8592035","8591984","2","120"
"8592044","8591983","2","180"
"8592050","8592020","2","240"
"8592050","8592052","2","180"
"8592051","8591991","2","180"
"8592052","8592050","2","180"
"8592054","8591997","2","120"
"8592055","8592089","2","120"
"8592057","8591998","2","120"
"8592062","8592020","2","420"
"8592068","8501209","2","720"
"8592068","8593837","2","120"
"8592068","8593838","2","180"
"8592076","8592033","2","120"
"8592078","8592032","2","300"
"8592085","8592132","2","180"
"8592088","8591987","2","300"
"8592089","8592055","2","120"
"8592096","8501160","2","300"
"8592096","8592001","2","180"
"8592096","8592010","2","120"
"8592096","8592011","2","240"
"8592096","8592133","2","180"
"8592105","8501209","2","180"
"8592122","8579253","2","540"
"8592122","8592004","2","120"
"8592122","8592133","2","180"
"8592126","8579255","2","360"
"8592132","8592085","2","180"
"8592133","8501160","2","360"
"8592133","8579253","2","420"
"8592133","8592004","2","120"
"8592133","8592010","2","240"
"8592133","8592096","2","180"
"8592133","8592122","2","180"
"8592154","8592164","2","120"
"8592156","8592164","2","120"
"8592164","8592154","2","120"
"8592164","8592156","2","120"
"8592164","8593861","2","360"
"8592168","8592169","2","240"
"8592168","8592189","2","360"
"8592169","8592168","2","240"
"8592175","8501163","2","180"
"8592176","8592030","2","180"
"8592178","8592208","2","180"
"8592179","8592217","2","120"
"8592187","8592030","2","240"
"8592188","8588445","2","300"
"8592189","8592168","2","360"
"8592208","8592178","2","180"
"8592217","8592179","2","120"
"8593837","8592068","2","120"
"8593837","8593838","2","180"
"8593838","8592068","2","180"
"8593838","8593837","2","180"
"8593844","8501208","2","120"
"8593861","8592164","2","360"
"8594987","8501212","2","180"
"8594987","8595602","2","300"
"8594988","8579231","2","120"
"8595521","8501210","2","300"
"8595602","8501212","2","360"
"8595602","8594987","2","300"
