route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"91-20-I-j24-1","TA","1.TA.91-20-I-j24-1.1.H","Bercher","101","0","LEB"
"91-20-I-j24-1","TA+te0e0","10.TA.91-20-I-j24-1.4.H","Echallens","235","0","LEB"
"91-20-I-j24-1","TA+te0e0","100.TA.91-20-I-j24-1.13.R","Lausanne-Flon","222","1","LEB"
"91-20-I-j24-1","TA+te0e0","101.TA.91-20-I-j24-1.13.R","Lausanne-Flon","232","1","LEB"
"91-20-I-j24-1","TA+te0e0","102.TA.91-20-I-j24-1.13.R","Lausanne-Flon","216","1","LEB"
"91-20-I-j24-1","TA+se0e0","103.TA.91-20-I-j24-1.13.R","Lausanne-Flon","202","1","LEB"
"91-20-I-j24-1","TA+te0e0","104.TA.91-20-I-j24-1.13.R","Lausanne-Flon","214","1","LEB"
"91-20-I-j24-1","TA+se0e0","105.TA.91-20-I-j24-1.13.R","Lausanne-Flon","206","1","LEB"
"91-20-I-j24-1","TA+te0e0","106.TA.91-20-I-j24-1.13.R","Lausanne-Flon","252","1","LEB"
"91-20-I-j24-1","TA+te0e0","107.TA.91-20-I-j24-1.13.R","Lausanne-Flon","230","1","LEB"
"91-20-I-j24-1","TA+te0e0","108.TA.91-20-I-j24-1.13.R","Lausanne-Flon","238","1","LEB"
"91-20-I-j24-1","TA+se0e0","109.TA.91-20-I-j24-1.13.R","Lausanne-Flon","204","1","LEB"
"91-20-I-j24-1","TA+se0e0","11.TA.91-20-I-j24-1.4.H","Echallens","211","0","LEB"
"91-20-I-j24-1","TA+te0e0","110.TA.91-20-I-j24-1.13.R","Lausanne-Flon","256","1","LEB"
"91-20-I-j24-1","TA","111.TA.91-20-I-j24-1.14.R","Lausanne-Flon","176","1","LEB"
"91-20-I-j24-1","TA+ss5e0","112.TA.91-20-I-j24-1.15.R","Lausanne-Flon","184","1","LEB"
"91-20-I-j24-1","TA","113.TA.91-20-I-j24-1.15.R","Lausanne-Flon","138","1","LEB"
"91-20-I-j24-1","TA","114.TA.91-20-I-j24-1.15.R","Lausanne-Flon","104","1","LEB"
"91-20-I-j24-1","TA","115.TA.91-20-I-j24-1.15.R","Lausanne-Flon","144","1","LEB"
"91-20-I-j24-1","TA","116.TA.91-20-I-j24-1.15.R","Lausanne-Flon","164","1","LEB"
"91-20-I-j24-1","TA","117.TA.91-20-I-j24-1.15.R","Lausanne-Flon","118","1","LEB"
"91-20-I-j24-1","TA","118.TA.91-20-I-j24-1.15.R","Lausanne-Flon","168","1","LEB"
"91-20-I-j24-1","TA","119.TA.91-20-I-j24-1.15.R","Lausanne-Flon","108","1","LEB"
"91-20-I-j24-1","TA+te0e0","12.TA.91-20-I-j24-1.4.H","Echallens","243","0","LEB"
"91-20-I-j24-1","TA","120.TA.91-20-I-j24-1.15.R","Lausanne-Flon","152","1","LEB"
"91-20-I-j24-1","TA","121.TA.91-20-I-j24-1.15.R","Lausanne-Flon","134","1","LEB"
"91-20-I-j24-1","TA","122.TA.91-20-I-j24-1.15.R","Lausanne-Flon","154","1","LEB"
"91-20-I-j24-1","TA","123.TA.91-20-I-j24-1.15.R","Lausanne-Flon","156","1","LEB"
"91-20-I-j24-1","TA","124.TA.91-20-I-j24-1.15.R","Lausanne-Flon","170","1","LEB"
"91-20-I-j24-1","TA","125.TA.91-20-I-j24-1.15.R","Lausanne-Flon","110","1","LEB"
"91-20-I-j24-1","TA","126.TA.91-20-I-j24-1.15.R","Lausanne-Flon","162","1","LEB"
"91-20-I-j24-1","TA","127.TA.91-20-I-j24-1.15.R","Lausanne-Flon","126","1","LEB"
"91-20-I-j24-1","TA","128.TA.91-20-I-j24-1.15.R","Lausanne-Flon","160","1","LEB"
"91-20-I-j24-1","TA","129.TA.91-20-I-j24-1.15.R","Lausanne-Flon","132","1","LEB"
"91-20-I-j24-1","TA+te0e0","13.TA.91-20-I-j24-1.4.H","Echallens","259","0","LEB"
"91-20-I-j24-1","TA","130.TA.91-20-I-j24-1.15.R","Lausanne-Flon","150","1","LEB"
"91-20-I-j24-1","TA","131.TA.91-20-I-j24-1.15.R","Lausanne-Flon","136","1","LEB"
"91-20-I-j24-1","TA","132.TA.91-20-I-j24-1.15.R","Lausanne-Flon","120","1","LEB"
"91-20-I-j24-1","TA","133.TA.91-20-I-j24-1.15.R","Lausanne-Flon","130","1","LEB"
"91-20-I-j24-1","TA","134.TA.91-20-I-j24-1.15.R","Lausanne-Flon","140","1","LEB"
"91-20-I-j24-1","TA","135.TA.91-20-I-j24-1.15.R","Lausanne-Flon","174","1","LEB"
"91-20-I-j24-1","TA","136.TA.91-20-I-j24-1.15.R","Lausanne-Flon","158","1","LEB"
"91-20-I-j24-1","TA","137.TA.91-20-I-j24-1.15.R","Lausanne-Flon","142","1","LEB"
"91-20-I-j24-1","TA","138.TA.91-20-I-j24-1.15.R","Lausanne-Flon","166","1","LEB"
"91-20-I-j24-1","TA","139.TA.91-20-I-j24-1.15.R","Lausanne-Flon","122","1","LEB"
"91-20-I-j24-1","TA+te0e0","14.TA.91-20-I-j24-1.4.H","Echallens","223","0","LEB"
"91-20-I-j24-1","TA","140.TA.91-20-I-j24-1.15.R","Lausanne-Flon","114","1","LEB"
"91-20-I-j24-1","TA","141.TA.91-20-I-j24-1.15.R","Lausanne-Flon","112","1","LEB"
"91-20-I-j24-1","TA","142.TA.91-20-I-j24-1.15.R","Lausanne-Flon","146","1","LEB"
"91-20-I-j24-1","TA","143.TA.91-20-I-j24-1.15.R","Lausanne-Flon","128","1","LEB"
"91-20-I-j24-1","TA","144.TA.91-20-I-j24-1.15.R","Lausanne-Flon","172","1","LEB"
"91-20-I-j24-1","TA","145.TA.91-20-I-j24-1.15.R","Lausanne-Flon","148","1","LEB"
"91-20-I-j24-1","TA","146.TA.91-20-I-j24-1.15.R","Lausanne-Flon","116","1","LEB"
"91-20-I-j24-1","TA","147.TA.91-20-I-j24-1.15.R","Lausanne-Flon","124","1","LEB"
"91-20-I-j24-1","TA","148.TA.91-20-I-j24-1.15.R","Lausanne-Flon","106","1","LEB"
"91-20-I-j24-1","TA+te0e0","15.TA.91-20-I-j24-1.4.H","Echallens","245","0","LEB"
"91-20-I-j24-1","TA+te0e0","16.TA.91-20-I-j24-1.4.H","Echallens","255","0","LEB"
"91-20-I-j24-1","TA+te0e0","17.TA.91-20-I-j24-1.4.H","Echallens","213","0","LEB"
"91-20-I-j24-1","TA+te0e0","18.TA.91-20-I-j24-1.4.H","Echallens","247","0","LEB"
"91-20-I-j24-1","TA+te0e0","19.TA.91-20-I-j24-1.4.H","Echallens","249","0","LEB"
"91-20-I-j24-1","TA","2.TA.91-20-I-j24-1.1.H","Bercher","103","0","LEB"
"91-20-I-j24-1","TA+te0e0","20.TA.91-20-I-j24-1.4.H","Echallens","251","0","LEB"
"91-20-I-j24-1","TA+se0e0","21.TA.91-20-I-j24-1.4.H","Echallens","205","0","LEB"
"91-20-I-j24-1","TA+te0e0","22.TA.91-20-I-j24-1.4.H","Echallens","215","0","LEB"
"91-20-I-j24-1","TA+te0e0","23.TA.91-20-I-j24-1.4.H","Echallens","237","0","LEB"
"91-20-I-j24-1","TA+te0e0","24.TA.91-20-I-j24-1.4.H","Echallens","227","0","LEB"
"91-20-I-j24-1","TA+te0e0","25.TA.91-20-I-j24-1.4.H","Echallens","265","0","LEB"
"91-20-I-j24-1","TA+te0e0","26.TA.91-20-I-j24-1.4.H","Echallens","253","0","LEB"
"91-20-I-j24-1","TA+te0e0","27.TA.91-20-I-j24-1.4.H","Echallens","231","0","LEB"
"91-20-I-j24-1","TA+te0e0","28.TA.91-20-I-j24-1.4.H","Echallens","263","0","LEB"
"91-20-I-j24-1","TA+te0e0","29.TA.91-20-I-j24-1.4.H","Echallens","229","0","LEB"
"91-20-I-j24-1","TA","3.TA.91-20-I-j24-1.1.H","Bercher","105","0","LEB"
"91-20-I-j24-1","TA+se0e0","30.TA.91-20-I-j24-1.4.H","Echallens","207","0","LEB"
"91-20-I-j24-1","TA+te0e0","31.TA.91-20-I-j24-1.4.H","Echallens","257","0","LEB"
